nuclide,half_life,energy_keV,intensity_percent,icc_T
Eu-154,8.601 (4) a,1274.429,34.9,7.37 (15) 10−4
Eu-154,8.601 (4) a,1596.4804,1.783,4.9 (1) 10−4
Eu-155,4.753 (14) a,45.299,1.31,0.443 (11)
Eu-155,4.753 (14) a,60.0086,1.22,9.48 (11)
Eu-155,4.753 (14) a,86.5479,30.7,0.432 (7)
Eu-155,4.753 (14) a,105.3083,21.1,0.255 (3)
Gd-159,18.479 (7) h,58.0,2.49,11.1 (3)
Gd-159,18.479 (7) h,363.543,11.78,1.04 (3) 10−2
Ho-166,26.795 (29) h,80.5725,6.55,6.90 (14)
Ho-166m,1132.6 (39) a⁎⁎⁎,80.5725,12.66,6.90 (14)
Ho-166m,1132.6 (39) a⁎⁎⁎,184.4107,72.5,0.334 (7)
Ho-166m,1132.6 (39) a⁎⁎⁎,215.871,2.66,0.197 (4)
Ho-166m,1132.6 (39) a⁎⁎⁎,259.736,1.078,0.1087 (22)
Ho-166m,1132.6 (39) a⁎⁎⁎,280.463,29.54,8.55 (17) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,300.741,3.73,6.91 (14) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,365.768,2.46,3.88 (8) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,410.956,11.35,8.78 (26) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,451.54,2.915,7.07 (21) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,464.798,1.25,2.01 (6) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,529.825,9.4,1.44 (3) 10−2
Ho-166m,1132.6 (39) a⁎⁎⁎,570.995,5.43,4.21 (13) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,611.579,1.31,3.64 (11) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,670.526,5.34,8.16 (24) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,691.253,1.32,7.58 (23) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,711.697,54.9,2.66 (8) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,752.28,12.2,2.38 (7) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,778.827,3.01,5.79 (17) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,810.286,57.3,5.3 (1) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,830.565,9.72,5.03 (15) 10−3
Ho-166m,1132.6 (39) a⁎⁎⁎,950.988,2.744,3.76 (11) 10−3
Yb-169,32.018 (5) d,63.12044,44.05,1.11 (4)
Yb-169,32.018 (5) d,93.61447,2.571,3.89 (12)
Yb-169,32.018 (5) d,109.77924,17.36,2.45 (4)
Yb-169,32.018 (5) d,118.1894,1.87,1.66 (5)
Yb-169,32.018 (5) d,130.52293,11.38,1.15 (4)
Yb-169,32.018 (5) d,177.21307,22.32,0.590 (9)
Yb-169,32.018 (5) d,197.95675,35.93,0.448 (7)
Yb-169,32.018 (5) d,261.07712,1.687,2.83 (9) 10−2
Yb-169,32.018 (5) d,307.73757,10.046,6.66 (20) 10−2
Tm-170,127.8 (6) d,84.25474,2.48,6.39 (10)
Lu-176,37.6 (7) 109 a,88.36,14.8,5.77 (8)
Lu-176,37.6 (7) 109 a,201.83,78.2,0.279 (4)
Lu-176,37.6 (7) 109 a,306.84,93.11,7.41 (11) 10−2
Lu-177,6.647 (4) d,112.9498,6.22,2.272 (5)
Lu-177,6.647 (4) d,208.3662,10.37,6.8 (5) 10−2
Ta-178,9.31 (3) min,93.13,6.6,4.67 (5)
Ta-178,9.31 (3) min,511.0,2.2,<NA>
Ta-178,9.31 (3) min,1340.85,1.0,0.00232
Ta-178,9.31 (3) min,1350.55,1.2,0.00229
Ta-182,114.61 (13) d,65.72215,2.97,2.92 (20)
Ta-182,114.61 (13) d,67.7497,43.6,0.22 (3)
Ta-182,114.61 (13) d,84.68024,2.62,7.66 (11)
Ta-182,114.61 (13) d,100.10595,14.22,3.89 (6)
Ta-182,114.61 (13) d,113.6717,1.869,3.19 (5)
Ta-182,114.61 (13) d,152.42991,7.01,0.1258 (18)
Ta-182,114.61 (13) d,156.3864,2.662,0.1177 (17)
Ta-182,114.61 (13) d,179.39381,3.099,0.63 (7)
Ta-182,114.61 (13) d,198.35187,1.461,0.317 (5)
Ta-182,114.61 (13) d,222.1085,7.54,4.80 (7) 10−2
Ta-182,114.61 (13) d,229.3207,3.634,0.196 (3)
Ta-182,114.61 (13) d,264.074,3.602,0.1254 (18)
Ta-182,114.61 (13) d,1001.6856,2.07,4.55 (8) 10−3
Ta-182,114.61 (13) d,1121.29,35.17,3.60 (5) 10−3
Ta-182,114.61 (13) d,1189.04,16.58,4.567 (41) 10−3
Ta-182,114.61 (13) d,1221.395,27.27,3.05 (5) 10−3
Ta-182,114.61 (13) d,1231.004,11.62,3.01 (5) 10−3
Ta-182,114.61 (13) d,1257.407,1.511,2.89 (4) 10−3
Ta-182,114.61 (13) d,1289.145,1.374,1.231 (18) 10−2
Re-186,3.7186 (17) d,137.157,9.42,1.290 (39)
Re-188,17.005 (4) h,155.041,15.2,0.820 (25)
Re-188,17.005 (4) h,477.992,1.02,2.60 (8) 10−2
Re-188,17.005 (4) h,632.981,1.28,1.32 (4) 10−2
Ir-192,73.827 (13) d,205.7943,3.34,0.305 (9)
Ir-192,73.827 (13) d,295.9565,28.72,0.106 (3)
Ir-192,73.827 (13) d,308.45507,29.68,9.6 (3) 10−2
Ir-192,73.827 (13) d,316.50618,82.75,8.49 (25) 10−2
Ir-192,73.827 (13) d,468.0688,47.81,2.95 (9) 10−2
Ir-192,73.827 (13) d,484.5751,3.189,2.63 (8) 10−2
Ir-192,73.827 (13) d,588.581,4.517,1.70 (5) 10−2
Ir-192,73.827 (13) d,604.41105,8.2,2.66 (8) 10−2
Ir-192,73.827 (13) d,612.4621,5.34,1.55 (5) 10−2
Ir-194,19.3 (1) h,293.541,2.5,0.107 (3)
Ir-194,19.3 (1) h,328.448,13.1,7.6 (2) 10−2
Ir-194,19.3 (1) h,645.146,1.18,1.38 (4) 10−2
Au-195,184.7 (14) d,98.882,11.21,6.86 (10)
Au-198,2.6944 (8) d,411.80205,95.54,4.47 (5) 10−2
Tl-201,3.0421 (17) d,135.312,2.604,3.45 (10)
Tl-201,3.0421 (17) d,167.45,10.0,1.89 (8)
Hg-203,46.594 (12) d,279.1952,81.61,0.2261 (8)
Pb-203,51.929 (10) h,279.1952,80.94,0.2261 (8)
Pb-203,51.929 (10) h,401.32,3.43,0.1784 (25)
Hg-206,8.32 (7) min,304.896,26.0,0.375 (6)
Hg-206,8.32 (7) min,649.42,2.2,5.01 (7) 10−2
Bi-207,32.9 (14) a,569.698,97.76,2.16 (3) 10−2
Bi-207,32.9 (14) a,1063.656,74.58,1.278 (24) 10-1
Bi-207,32.9 (14) a,1770.228,6.871,4.42 (7) 10−3
Tl-208,3.058 (6) min,277.37,6.6,0.529 (8)
Tl-208,3.058 (6) min,510.74,22.5,0.1019 (16)
Tl-208,3.058 (6) min,583.187,85.0,2.05 (3) 10−2
Tl-208,3.058 (6) min,763.45,1.8,3.54 (5) 10−2
Tl-208,3.058 (6) min,860.53,12.4,2.62 (4) 10−2
Tl-208,3.058 (6) min,2614.511,99.755,2.46 (4) 10−3
Tl-209,2.161 (7) min,117.224,77.22,0.295 (5)
Tl-209,2.161 (7) min,465.128,96.62,3.50 (5) 10−2
Tl-209,2.161 (7) min,1566.93,99.707,2.94 (5) 10−3
Pb-210,22.23 (12) a,46.539,4.252,17.86 (25)
Tl-210,1.30 (3) min,83.0,1.98,14
Tl-210,1.30 (3) min,97.0,4.0,9
Tl-210,1.30 (3) min,296.0,79.0,0.120 (5)
Tl-210,1.30 (3) min,356.0,4.0,0.270 (22)
Tl-210,1.30 (3) min,382.0,3.0,0.223 (17)
Tl-210,1.30 (3) min,480.0,2.0,<NA>
Tl-210,1.30 (3) min,670.0,2.0,<NA>
Tl-210,1.30 (3) min,799.6,98.969,1.042 (31) 10−2
Tl-210,1.30 (3) min,860.0,6.9,<NA>
Tl-210,1.30 (3) min,910.0,3.0,<NA>
Tl-210,1.30 (3) min,1070.0,11.9,2.22 (7) 10−3
Tl-210,1.30 (3) min,1110.0,6.9,<NA>
Tl-210,1.30 (3) min,1210.0,16.8,<NA>
Tl-210,1.30 (3) min,1310.0,20.8,<NA>
Tl-210,1.30 (3) min,1410.0,4.9,<NA>
Tl-210,1.30 (3) min,1490.0,2.0,<NA>
Tl-210,1.30 (3) min,1540.0,2.0,<NA>
Tl-210,1.30 (3) min,1590.0,2.0,<NA>
Tl-210,1.30 (3) min,1650.0,2.0,<NA>
Tl-210,1.30 (3) min,2010.0,6.9,<NA>
Tl-210,1.30 (3) min,2090.0,4.9,<NA>
Tl-210,1.30 (3) min,2280.0,3.0,<NA>
Tl-210,1.30 (3) min,2360.0,7.9,<NA>
Tl-210,1.30 (3) min,2430.0,8.9,<NA>
Bi-211,2.15 (2) min,351.03,13.0,0.243 (4)
Pb-211,36.1 (2) min,404.834,3.83,0.122 (8)
Pb-211,36.1 (2) min,427.15,1.81,0.1783 (25)
Pb-211,36.1 (2) min,831.984,3.5,2.8 (3) 10−2
Bi-212,60.54 (6) min,39.858,1.07,23.3 (4)
Bi-212,60.54 (6) min,727.33,6.65,1.393 (20) 10−2
Bi-212,60.54 (6) min,785.37,1.11,3.87 (6) 10−2
Bi-212,60.54 (6) min,1620.738,1.51,6.20 (9) 10−3
Pb-212,10.64 (1) h,238.632,43.6,0.872 (13)
Pb-212,10.64 (1) h,300.089,3.18,0.464 (7)
Bi-213,45.59 (6) min,440.44,26.1,0.179 (3)
Bi-214,19.8 (1) min,609.312,45.49,2.04 (3) 10−2
Bi-214,19.8 (1) min,665.453,1.53,5.79 (9) 10−3
Bi-214,19.8 (1) min,768.356,4.892,1.57 (21) 10−2
Bi-214,19.8 (1) min,806.174,1.262,1.127 (16) 10−2
Bi-214,19.8 (1) min,934.061,3.1,2.34 (10) 10−2
Bi-214,19.8 (1) min,1120.287,14.91,1.522 (23) 10−2
Bi-214,19.8 (1) min,1155.19,1.635,1.35 (4) 10−2
Bi-214,19.8 (1) min,1238.111,5.831,1.200 (17) 10−2
Bi-214,19.8 (1) min,1280.96,1.435,1.101 (16) 10−2
Bi-214,19.8 (1) min,1377.669,3.968,4.04 (6) 10−3
Bi-214,19.8 (1) min,1401.5,1.33,5.3 (9) 10−3
Bi-214,19.8 (1) min,1407.98,2.389,3.89 (6) 10−3
Bi-214,19.8 (1) min,1509.228,2.128,7.32 (11) 10−3
Bi-214,19.8 (1) min,1661.28,1.048,2.96 (5) 10−3
Bi-214,19.8 (1) min,1729.595,2.844,2.78 (4) 10−3
Bi-214,19.8 (1) min,1764.494,15.31,5.11 (8) 10−3
Bi-214,19.8 (1) min,1847.42,2.025,<NA>
Bi-214,19.8 (1) min,2118.55,1.158,3.56 (5) 10−3
Bi-214,19.8 (1) min,2204.21,4.913,3.33 (5) 10−3
Bi-214,19.8 (1) min,2447.86,1.548,1.424 (20) 10−3
Pb-214,26.916 (44) min,53.2275,1.06,12.88 (39)
Pb-214,26.916 (44) min,241.997,7.268,0.888 (27)
Pb-214,26.916 (44) min,295.224,18.414,0.482 (14)
Pb-214,26.916 (44) min,351.932,35.6,0.319 (10)
Pb-214,26.916 (44) min,785.96,1.064,4.10 (12) 10−3
Bi-215,7.6 (2) min,271.228,1.95,0.201 (7)
Bi-215,7.6 (2) min,293.56,23.8,0.34 (5)
Bi-215,7.6 (2) min,517.6,1.02,7.3 (10) 10−2
Bi-215,7.6 (2) min,1105.2,1.5,<NA>
Rn-219,3.98 (3) s,271.228,11.07,0.201 (7)
Rn-219,3.98 (3) s,401.81,6.75,5.55 (8) 10−2
Fr-221,4.79 (2) min,218.12,11.42,0.367 (5)
Fr-223,22.00 (7) min,20.27,1.4,7.76 (22)
Fr-223,22.00 (7) min,49.8,2.5,0.708 (10)
Fr-223,22.00 (7) min,50.1,33.0,0.696 (10)
Fr-223,22.00 (7) min,79.65,9.0,0.202 (3)
Fr-223,22.00 (7) min,234.7,2.7,1.393 (16)
Ra-223,11.43 (3) d,122.319,1.238,7.34 (11)
Ra-223,11.43 (3) d,144.27,3.36,4.59 (7)
Ra-223,11.43 (3) d,154.208,5.84,3.83 (6)
Ra-223,11.43 (3) d,269.463,14.23,0.789 (14)
Ra-223,11.43 (3) d,323.871,4.06,0.473 (17)
Ra-223,11.43 (3) d,338.282,2.85,0.430 (6)
Ra-223,11.43 (3) d,445.033,1.28,0.205 (3)
Ra-224,3.631 (2) d,240.986,4.12,0.276 (4)
Ac-225,10.0 (1) d,99.89,1.08,0.1073 (15)
Ra-225,14.82 (19) d,40.09,30.0,1.293 (19)
Ra-226,1600 (7) a,186.211,3.555,0.677 (10)
Ac-228,6.15 (3) h,99.505,1.26,3.84 (6)
Ac-228,6.15 (3) h,129.065,2.5,3.74 (6)
Ac-228,6.15 (3) h,209.248,3.97,8.48 (12) 10−2
Ac-228,6.15 (3) h,270.245,3.55,4.70 (7) 10−2
Ac-228,6.15 (3) h,328.004,3.04,3.05 (5) 10−2
Ac-228,6.15 (3) h,338.32,11.4,2.85 (4) 10−2
Ac-228,6.15 (3) h,409.46,2.02,0.21 (15)
Ac-228,6.15 (3) h,463.002,4.45,5.14 (8) 10−2
Ac-228,6.15 (3) h,755.313,1.03,7.0 (1) 10−2
Ac-228,6.15 (3) h,772.291,1.52,2.44 (14) 10−2
Ac-228,6.15 (3) h,794.942,4.31,1.79 (14) 10−2
Ac-228,6.15 (3) h,835.704,1.7,1.415 (20) 10−2
Ac-228,6.15 (3) h,911.196,26.2,1.194 (17) 10−2
Ac-228,6.15 (3) h,964.786,4.99,1.119 (23) 10−2
Ac-228,6.15 (3) h,968.96,15.9,1.061 (15) 10−2
Ac-228,6.15 (3) h,1588.2,3.06,7 (3) 10−3
Ac-228,6.15 (3) h,1630.618,1.52,7 (3) 10−3
Ra-228,5.75 (4) a,13.52,1.6,5.86 (10)
Th-228,698.55 (32) d,84.373,1.19,21.2 (3)
Pa-231,32670 (260) a,27.37,10.8,4.5 (6)
Pa-231,32670 (260) a,283.69,1.65,4.10 (6) 10−2
Pa-231,32670 (260) a,300.06,2.41,0.764 (17)
Pa-231,32670 (260) a,302.67,2.3,3.55 (5) 10−2
Pa-231,32670 (260) a,330.04,1.36,0.541 (19)
Th-231,25.52 (1) h,25.64,13.9,4.37 (7)
Th-231,25.52 (1) h,84.214,6.7,2.50 (25)
Th-231,25.52 (1) h,89.95,1.01,0.1598 (22)
Pa-233,26.98 (2) d,75.269,1.3,11.4 (12)
Pa-233,26.98 (2) d,86.595,1.99,7.08 (14)
Pa-233,26.98 (2) d,300.129,6.6,0.87 (2)
Pa-233,26.98 (2) d,311.904,38.3,0.80 (2)
Pa-233,26.98 (2) d,340.476,4.47,0.62 (2)
Pa-233,26.98 (2) d,398.492,1.408,8.35 (17) 10−2
Pa-233,26.98 (2) d,415.764,1.747,0.13 (8)
Th-233,22.15 (8) min,29.373,2.17,3.07 (6)
Th-233,22.15 (8) min,86.477,1.843,1.43 (8)
Pa-234,6.70 (5) h,62.7,1.6,0.426 (6)
Pa-234,6.70 (5) h,99.86,3.2,13.42 (19)
Pa-234,6.70 (5) h,131.3,18.2,0.265 (4)
Pa-234,6.70 (5) h,152.71,6.0,2.14 (3)
Pa-234,6.70 (5) h,186.15,1.78,3.79 (6)
Pa-234,6.70 (5) h,203.12,1.24,1.4 (4)
Pa-234,6.70 (5) h,226.5,4.9,1.3 (3)
Pa-234,6.70 (5) h,227.25,5.8,2.17 (3)
Pa-234,6.70 (5) h,249.22,2.5,5.94 (9) 10−2
Pa-234,6.70 (5) h,272.28,1.09,1.004 (14)
Pa-234,6.70 (5) h,293.79,3.0,0.42 (10)
Pa-234,6.70 (5) h,369.5,2.5,0.565 (8)
Pa-234,6.70 (5) h,372.0,1.23,0.517 (8)
Pa-234,6.70 (5) h,458.68,1.14,0.14 (5)
Pa-234,6.70 (5) h,506.75,1.3,1.314 (19) 10−2
Pa-234,6.70 (5) h,565.2,1.04,0.179 (3)
Pa-234,6.70 (5) h,568.9,3.6,0.1759 (25)
Pa-234,6.70 (5) h,569.5,9.3,0.1754 (25)
Pa-234,6.70 (5) h,666.5,1.18,7.77 (11) 10−3
Pa-234,6.70 (5) h,669.7,1.0,7.70 (11) 10−3
Pa-234,6.70 (5) h,692.6,1.25,0.1040 (15)
Pa-234,6.70 (5) h,699.03,3.6,<NA>
Pa-234,6.70 (5) h,705.9,2.29,6.98 (10) 10−3
Pa-234,6.70 (5) h,733.39,7.0,8.93 (13) 10−2
Pa-234,6.70 (5) h,738.0,1.16,8.78 (13) 10−2
Pa-234,6.70 (5) h,742.813,2.08,6.36 (9) 10−3
Pa-234,6.70 (5) h,755.0,1.23,5 (4) 10−2
Pa-234,6.70 (5) h,786.272,1.21,5.73 (8) 10−3
Pa-234,6.70 (5) h,796.1,2.6,1.730 (25) 10−2
Pa-234,6.70 (5) h,805.8,2.5,5.49 (8) 10−3
Pa-234,6.70 (5) h,819.2,1.9,5.33 (8) 10−3
Pa-234,6.70 (5) h,824.2,1.25,<NA>
Pa-234,6.70 (5) h,825.1,1.9,1.611 (23) 10−2
Pa-234,6.70 (5) h,831.5,4.2,5.18 (8) 10−3
Pa-234,6.70 (5) h,876.0,2.55,1.432 (20) 10−2
Pa-234,6.70 (5) h,880.52,6.2,1.418 (20) 10−2
Pa-234,6.70 (5) h,880.52,4.3,4.68 (7) 10−3
Pa-234,6.70 (5) h,883.24,9.7,1.409 (20) 10−2
Pa-234,6.70 (5) h,898.67,3.3,4.51 (7) 10−3
Pa-234,6.70 (5) h,925.0,7.9,1.288 (18) 10−2
Pa-234,6.70 (5) h,926.0,1.8,4.28 (6) 10−3
Pa-234,6.70 (5) h,926.7,7.3,1.284 (18) 10−2
Pa-234,6.70 (5) h,946.0,13.5,4.12 (6) 10−3
Pa-234,6.70 (5) h,947.7,1.63,1.230 (18) 10−2
Pa-234,6.70 (5) h,980.3,2.7,3.87 (6) 10−3
Pa-234,6.70 (5) h,980.3,1.77,1.152 (17) 10−2
Pa-234,6.70 (5) h,984.2,1.63,3.85 (6) 10−3
Pa-234,6.70 (5) h,1352.9,1.16,1.766 (25) 10−2
Pa-234,6.70 (5) h,1393.9,2.08,1.634 (23) 10−2
Th-234,24.10 (3) d,63.3,3.75,0.405 (6)
Th-234,24.10 (3) d,92.38,2.18,5.27 (8)
Th-234,24.10 (3) d,92.8,2.15,0.1472 (21)
U-235,704 (1) 106 a,109.19,1.66,9.32 (14) 10−2
U-235,704 (1) 106 a,143.767,10.94,0.207 (3)
U-235,704 (1) 106 a,163.356,5.08,0.1526 (22)
U-235,704 (1) 106 a,185.72,57.0,0.1124 (16)
U-235,704 (1) 106 a,202.12,1.08,2.53 (4)
U-235,704 (1) 106 a,205.316,5.02,8.87 (13) 10−2
Np-236,1.55 (8) 105 a,104.234,7.32,10.99 (22)
Np-236,1.55 (8) 105 a,158.35,3.8,2.14 (4)
Np-236,1.55 (8) 105 a,160.307,31.8,1.76 (4)
Np-236m,22.5 (4) h,642.35,1.08,0.15 (2)
Np-237,2.144 (7) 106 a,29.374,14.3,3.07 (6)
Np-237,2.144 (7) 106 a,86.477,12.26,1.43 (8)
U-237,6.749 (16) d,26.34463,2.43,8 (2)
U-237,6.749 (16) d,59.54091,34.1,1.16 (7)
U-237,6.749 (16) d,64.83,1.286,0.400 (8)
U-237,6.749 (16) d,164.61,1.86,1.70 (4)
U-237,6.749 (16) d,208.0,21.3,2.98 (7)
U-237,6.749 (16) d,332.376,1.199,0.146 (3)
Np-238,2.102 (5) d,923.99,2.604,1.4 (1) 10−2
Np-238,2.102 (5) d,984.45,25.18,1.25 (5) 10−2
Np-238,2.102 (5) d,1025.87,8.76,1.20 (5) 10−2
Np-238,2.102 (5) d,1028.54,18.25,1.17 (2) 10−2
Np-239,2.356 (3) d,61.46,1.29,0.473 (10)
Np-239,2.356 (3) d,106.125,25.9,0.26 (3)
Np-239,2.356 (3) d,209.753,3.42,2.94 (6)
Np-239,2.356 (3) d,228.183,11.32,2.41 (8)
Np-239,2.356 (3) d,277.599,14.4,1.42 (6)
Np-239,2.356 (3) d,315.88,1.59,3.72 (8) 10−2
Np-239,2.356 (3) d,334.31,2.04,3.29 (7) 10−2
U-239,23.46 (5) min,43.533,4.35,1.14 (3)
U-239,23.46 (5) min,74.664,51.6,0.276 (6)
Am-241,432.6 (6) a,26.3446,2.31,8 (2)
Am-241,432.6 (6) a,59.5409,35.92,1.16 (7)
Am-243,7367 (23) a,43.53,5.89,1.143 (16)
Am-243,7367 (23) a,74.66,67.2,0.276 (4)
Cm-243,28.9 (4) a,209.753,3.29,3.24 (5)
Cm-243,28.9 (4) a,228.183,10.6,2.56 (4)
Cm-243,28.9 (4) a,277.599,14.0,1.448 (21)
Am-244,10.1 (1) h,99.383,5.0,19.3 (3)
Am-244,10.1 (1) h,153.863,19.0,2.81 (4)
Am-244,10.1 (1) h,743.977,66.0,7.7 (5) 10−2
Am-244,10.1 (1) h,897.84,28.0,1.697 (24) 10−2
Cm-245,8250 (70) a,133.081,2.81,11.36 (17)
Cm-245,8250 (70) a,175.0523,9.83,5.21 (8)
